date,short position,long position,net position,short pnl,long pnl,short return,long return,accumulate return
2016-01-05 16:55:00,0,10,10,,,,,0.0
2016-01-06 16:55:00,0,80,80,,,,,0.0
2016-01-07 16:55:00,0,0,0,,265.824557133,,0.088608185711,0.088608185711
2016-01-08 16:55:00,0,0,0,,8.2052035575,,0.0027350678525,0.0913432535635
2016-01-11 16:55:00,0,0,0,,,,,0.0913432535635
2016-01-12 16:55:00,0,0,0,,7.707338545,,0.00256911284833,0.0939123664118
2016-01-13 16:55:00,0,0,0,,,,,0.0939123664118
2016-01-14 16:55:00,0,0,0,,,,,0.0939123664118
2016-01-15 16:55:00,0,20,20,,,,,0.0939123664118
2016-01-18 12:55:00,0,0,0,,29.0987678506,,0.00969958928354,0.103611955695
2016-01-19 16:55:00,0,0,0,,,,,0.103611955695
2016-01-20 16:55:00,0,40,40,,,,,0.103611955695
2016-01-21 16:55:00,0,0,0,,26.9020570227,,0.00896735234089,0.112579308036
2016-01-22 16:55:00,0,0,0,,,,,0.112579308036
2016-01-25 16:55:00,0,0,0,,,,,0.112579308036
2016-01-26 16:55:00,0,0,0,,,,,0.112579308036
2016-01-27 16:55:00,0,0,0,,,,,0.112579308036
2016-01-28 16:55:00,0,0,0,,,,,0.112579308036
2016-01-29 16:55:00,0,0,0,,,,,0.112579308036
2016-02-01 16:55:00,0,0,0,,,,,0.112579308036
2016-02-02 16:55:00,0,0,0,,,,,0.112579308036
2016-02-03 16:55:00,0,0,0,,,,,0.112579308036
2016-02-04 16:55:00,0,0,0,,,,,0.112579308036
2016-02-05 16:55:00,0,0,0,,,,,0.112579308036
2016-02-08 16:55:00,0,0,0,,,,,0.112579308036
2016-02-09 16:55:00,0,0,0,,,,,0.112579308036
2016-02-10 16:55:00,0,0,0,,,,,0.112579308036
2016-02-11 16:55:00,0,0,0,,,,,0.112579308036
2016-02-12 16:55:00,0,0,0,,,,,0.112579308036
2016-02-15 12:55:00,0,0,0,,,,,0.112579308036
2016-02-16 16:55:00,0,0,0,,,,,0.112579308036
2016-02-17 16:55:00,0,0,0,,,,,0.112579308036
2016-02-18 16:55:00,0,0,0,,,,,0.112579308036
2016-02-19 16:55:00,0,0,0,,,,,0.112579308036
2016-02-22 14:25:00,0,0,0,,,,,0.112579308036
2016-02-23 16:55:00,0,0,0,,,,,0.112579308036
2016-02-24 16:55:00,0,0,0,,,,,0.112579308036
2016-02-25 16:55:00,0,0,0,,,,,0.112579308036
2016-02-26 16:55:00,0,0,0,,,,,0.112579308036
2016-02-29 16:55:00,0,0,0,,,,,0.112579308036
2016-03-01 16:55:00,0,0,0,,,,,0.112579308036
2016-03-02 16:55:00,0,0,0,,,,,0.112579308036
2016-03-03 16:55:00,0,0,0,,,,,0.112579308036
2016-03-04 16:55:00,0,0,0,,,,,0.112579308036
2016-03-07 16:55:00,0,0,0,,,,,0.112579308036
2016-03-08 16:55:00,0,0,0,,,,,0.112579308036
2016-03-09 16:55:00,0,0,0,,,,,0.112579308036
2016-03-10 16:55:00,0,0,0,,,,,0.112579308036
2016-03-11 16:55:00,-10,0,-10,,,,,0.112579308036
2016-03-14 16:55:00,0,0,0,9.65892607,,0.00321964202333,,0.11579895006
2016-03-15 16:55:00,0,0,0,,,,,0.11579895006
2016-03-16 16:55:00,0,0,0,,,,,0.11579895006
2016-03-17 16:55:00,-20,0,-20,,,,,0.11579895006
2016-03-18 16:55:00,-40,0,-40,,,,,0.11579895006
2016-03-21 14:25:00,0,0,0,39.8329165904,,0.0132776388635,,0.129076588923
2016-03-22 16:55:00,-10,0,-10,,,,,0.129076588923
2016-03-23 16:55:00,0,0,0,20.4636047834,,0.00682120159445,,0.135897790518
2016-03-24 16:55:00,0,0,0,,,,,0.135897790518
2016-03-28 16:55:00,0,0,0,,,,,0.135897790518
2016-03-29 16:55:00,0,0,0,,,,,0.135897790518
2016-03-30 16:55:00,0,0,0,,,,,0.135897790518
2016-03-31 16:55:00,0,0,0,,,,,0.135897790518
2016-04-01 16:55:00,0,0,0,,,,,0.135897790518
2016-04-04 16:55:00,0,0,0,,,,,0.135897790518
2016-04-05 16:55:00,0,0,0,,,,,0.135897790518
2016-04-06 16:55:00,0,0,0,,,,,0.135897790518
2016-04-07 16:55:00,0,0,0,,,,,0.135897790518
2016-04-08 16:55:00,0,0,0,,,,,0.135897790518
2016-04-11 16:55:00,0,0,0,,,,,0.135897790518
2016-04-12 16:55:00,0,0,0,,,,,0.135897790518
2016-04-13 16:55:00,0,0,0,,,,,0.135897790518
2016-04-14 16:55:00,0,0,0,,,,,0.135897790518
2016-04-15 16:55:00,0,0,0,,,,,0.135897790518
2016-04-18 16:55:00,0,0,0,,,,,0.135897790518
2016-04-19 16:55:00,0,0,0,,,,,0.135897790518
2016-04-20 14:25:00,-10,0,-10,,,,,0.135897790518
2016-04-21 16:55:00,-40,0,-40,,,,,0.135897790518
2016-04-22 16:55:00,-40,0,-40,,,,,0.135897790518
2016-04-25 16:55:00,-40,0,-40,,,,,0.135897790518
2016-04-26 16:55:00,-40,0,-40,,,,,0.135897790518
2016-04-27 16:55:00,-80,0,-80,,,,,0.135897790518
2016-04-28 16:55:00,-160,0,-160,,,,,0.135897790518
2016-04-29 16:55:00,-160,0,-160,,,,,0.135897790518
2016-05-02 16:55:00,-160,0,-160,,,,,0.135897790518
2016-05-03 16:55:00,0,0,0,180.487159051,,0.0601623863504,,0.196060176868
2016-05-04 16:55:00,0,0,0,,,,,0.196060176868
2016-05-05 16:55:00,0,0,0,,,,,0.196060176868
2016-05-06 16:55:00,0,0,0,,,,,0.196060176868
2016-05-09 16:55:00,0,0,0,,,,,0.196060176868
2016-05-10 16:55:00,0,0,0,,,,,0.196060176868
2016-05-11 16:55:00,0,0,0,,,,,0.196060176868
2016-05-12 16:55:00,-10,0,-10,,,,,0.196060176868
2016-05-13 16:55:00,-10,0,-10,,,,,0.196060176868
2016-05-16 16:55:00,-20,0,-20,,,,,0.196060176868
2016-05-17 16:55:00,-40,0,-40,,,,,0.196060176868
2016-05-18 16:55:00,-40,0,-40,,,,,0.196060176868
2016-05-19 16:55:00,0,0,0,47.9439934808,,0.0159813311603,,0.212041508028
2016-05-20 14:25:00,0,0,0,,,,,0.212041508028
2016-05-23 16:55:00,0,0,0,,,,,0.212041508028
2016-05-24 16:55:00,0,0,0,,,,,0.212041508028
2016-05-25 16:55:00,-10,0,-10,,,,,0.212041508028
2016-05-26 16:55:00,-10,0,-10,,,,,0.212041508028
2016-05-27 16:55:00,-10,0,-10,,,,,0.212041508028
2016-05-30 12:55:00,-10,0,-10,,,,,0.212041508028
2016-05-31 16:55:00,-10,0,-10,,,,,0.212041508028
2016-06-01 16:55:00,0,0,0,12.4094574075,,0.0041364858025,,0.216177993831
2016-06-02 16:55:00,0,0,0,,,,,0.216177993831
2016-06-06 16:55:00,0,0,0,,,,,0.216177993831
2016-06-07 16:55:00,-10,0,-10,,,,,0.216177993831
